Comune;Slug;Frazioni_alias;Sito_candidato;Sito_IPA_verificato;Numero_Pro_Loco_candidate;Pro_Loco_candidate;Stato_iniziale;Nota
Castro;castro;Castro Marina;https://www.comune.castro.le.it/;NO;1;Pro Loco Castro;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Cavallino;cavallino;;https://www.comune.cavallino.le.it/;NO;1;Pro Loco Cavallino-Castromediano (Castromediano);DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Collepasso;collepasso;;https://www.comune.collepasso.le.it/;NO;0;;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Copertino;copertino;;https://www.comune.copertino.le.it/;NO;1;Pro Loco Copertino F. Verdesca;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Corigliano d’Otranto;corigliano-dotranto;;https://www.comune.coriglianodotranto.le.it/;NO;1;Pro Loco Corigliano d’Otranto;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Corsano;corsano;;https://www.comune.corsano.le.it/;NO;1;Pro Loco Corsano;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Cursi;cursi;;https://www.comune.cursi.le.it/;NO;1;Pro Loco Cursi;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Cutrofiano;cutrofiano;;https://www.comune.cutrofiano.le.it/;NO;1;Pro Loco Cutrofiano;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Diso;diso;Marittima | Acquaviva di Marittima;https://www.comune.diso.le.it/;NO;1;Pro Loco Acquaviva di Marittima APS (Acquaviva di Marittima);DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Gagliano del Capo;gagliano-del-capo;Arigliano | San Dana;https://www.comune.gaglianodelcapo.le.it/;NO;1;Pro Loco Gagliano del Capo;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Galatina;galatina;Collemeto | Noha | Santa Barbara;https://www.comune.galatina.le.it/;NO;1;Pro Loco Galatina;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Galatone;galatone;;https://www.comune.galatone.le.it/;NO;1;Pro Loco Galatone;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Gallipoli;gallipoli;Baia Verde | Rivabella | Lido Conchiglie;https://www.comune.gallipoli.le.it/;NO;1;Pro Loco Gallipoli;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Giuggianello;giuggianello;;https://www.comune.giuggianello.le.it/;NO;0;;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Giurdignano;giurdignano;;https://www.comune.giurdignano.le.it/;NO;1;Pro Loco Giurdignano Sant’Arcangelo de Casulis;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Guagnano;guagnano;Villa Baldassarri;https://www.comune.guagnano.le.it/;NO;2;Pro Loco Guagnano | Pro Loco Villa Baldassarri (Villa Baldassarri);DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Lecce;lecce;Frigole | San Cataldo | Torre Chianca | Spiaggiabella | Torre Rinalda | San Ligorio;https://www.comune.lecce.le.it/;NO;3;Pro Loco Lecce | Pro Loco San Cataldo La Rotonda (San Cataldo) | Pro Loco Spiaggiabella (Spiaggiabella);DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Lequile;lequile;;https://www.comune.lequile.le.it/;NO;1;Pro Loco Lequile Leculo;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Leverano;leverano;;https://www.comune.leverano.le.it/;NO;1;Pro Loco Leverano;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Lizzanello;lizzanello;Merine;https://www.comune.lizzanello.le.it/;NO;0;;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Maglie;maglie;;https://www.comune.maglie.le.it/;NO;1;Pro Loco Maglie Avv. Luigi Puzzovio;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Martano;martano;;https://www.comune.martano.le.it/;NO;1;Pro Loco Martano;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Martignano;martignano;;https://www.comune.martignano.le.it/;NO;1;Pro Loco Martignano;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Matino;matino;;https://www.comune.matino.le.it/;NO;1;Pro Loco Matino Sant’Ermete;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Melendugno;melendugno;Borgagne | San Foca | Roca Vecchia | Roca Nuova | Torre dell’Orso | Sant’Andrea;https://www.comune.melendugno.le.it/;NO;4;Pro Loco Borgagne (Borgagne) | Pro Loco Terre di Melendugno | Pro Loco Terre di San Foca (San Foca) | Pro Loco Torre dell’Orso (Torre dell’Orso);DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Melissano;melissano;;https://www.comune.melissano.le.it/;NO;1;Pro Loco Melissano;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Melpignano;melpignano;;https://www.comune.melpignano.le.it/;NO;1;Pro Loco Melpignano;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Miggiano;miggiano;;https://www.comune.miggiano.le.it/;NO;1;Pro Loco Miggiano;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Minervino di Lecce;minervino-di-lecce;Cocumola | Specchia Gallone;https://www.comune.minervinodilecce.le.it/;NO;1;Pro Loco Minervino di Lecce Minerva;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Monteroni di Lecce;monteroni-di-lecce;;https://www.comune.monteronidilecce.le.it/;NO;1;Pro Loco Monteroni di Lecce;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Montesano Salentino;montesano-salentino;;https://www.comune.montesanosalentino.le.it/;NO;1;Pro Loco Montesano Salentino;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Morciano di Leuca;morciano-di-leuca;Barbarano del Capo | Torre Vado;https://www.comune.morcianodileuca.le.it/;NO;1;Pro Loco Torre Vado (Torre Vado);DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Muro Leccese;muro-leccese;;https://www.comune.muroleccese.le.it/;NO;0;;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Nardò;nardo;Santa Caterina | Santa Maria al Bagno | Sant’Isidoro | Porto Selvaggio | Villaggio Resta;https://www.comune.nardo.le.it/;NO;2;Pro Loco Marina di Sant’Isidoro (Sant’Isidoro) | Pro Loco Nardò e Terra d’Arneo;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Neviano;neviano;;https://www.comune.neviano.le.it/;NO;1;Pro Loco Neviano;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Nociglia;nociglia;;https://www.comune.nociglia.le.it/;NO;1;Pro Loco Nociglia Farnese;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Novoli;novoli;;https://www.comune.novoli.le.it/;NO;1;Pro Loco Novoli;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Ortelle;ortelle;Vignacastrisi;https://www.comune.ortelle.le.it/;NO;1;Pro Loco Ippocampo-Vignacastrisi (Vignacastrisi);DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Otranto;otranto;Porto Badisco;https://www.comune.otranto.le.it/;NO;2;Pro Loco Porto Badisco (Porto Badisco) | Pro Loco Otranto;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Palmariggi;palmariggi;Montevergine;https://www.comune.palmariggi.le.it/;NO;1;Pro Loco Palmariggi-Montevergine (Montevergine);DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Parabita;parabita;;https://www.comune.parabita.le.it/;NO;0;;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Patù;patu;;https://www.comune.patu.le.it/;NO;1;Pro Loco Patù;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Poggiardo;poggiardo;Vaste;https://www.comune.poggiardo.le.it/;NO;1;Pro Loco Poggiardo;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Porto Cesareo;porto-cesareo;Torre Lapillo | Punta Prosciutto;https://www.comune.portocesareo.le.it/;NO;2;Pro Loco Porto Cesareo | Pro Loco Torre Lapillo (Torre Lapillo);DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Presicce-Acquarica;presicce-acquarica;Presicce | Acquarica del Capo | Lido Marini;https://www.comune.presicceacquarica.le.it/;NO;2;Pro Loco Acquarica del Capo (Acquarica del Capo) | Pro Loco Presicce (Presicce);DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Racale;racale;Torre Suda;https://www.comune.racale.le.it/;NO;1;Pro Loco Torre Suda (Torre Suda);DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Ruffano;ruffano;Torrepaduli;https://www.comune.ruffano.le.it/;NO;1;Pro Loco Ruffano;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Salice Salentino;salice-salentino;;https://www.comune.salicesalentino.le.it/;NO;1;Pro Loco Salice Salentino;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Salve;salve;Ruggiano | Pescoluse | Torre Pali | Posto Vecchio;https://www.comune.salve.le.it/;NO;1;Pro Loco Salve, Ruggiano e Marine;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
San Cassiano;san-cassiano;;https://www.comune.sancassiano.le.it/;NO;1;Pro Loco San Cassiano;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
San Cesario di Lecce;san-cesario-di-lecce;;https://www.comune.sancesariodilecce.le.it/;NO;0;;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
San Donato di Lecce;san-donato-di-lecce;Galugnano;https://www.comune.sandonatodilecce.le.it/;NO;1;Pro Loco San Donato di Lecce Galugnano (Galugnano);DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
San Pietro in Lama;san-pietro-in-lama;;https://www.comune.sanpietroinlama.le.it/;NO;1;Pro Loco San Pietro in Lama;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Sanarica;sanarica;;https://www.comune.sanarica.le.it/;NO;1;Pro Loco Sanarica;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Sannicola;sannicola;Chiesanuova | San Simone | Lido Conchiglie;https://www.comune.sannicola.le.it/;NO;1;Pro Loco Lido Conchiglie-Sannicola (Lido Conchiglie);DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Santa Cesarea Terme;santa-cesarea-terme;Cerfignano | Vitigliano | Porto Miggiano;https://www.comune.santacesareaterme.le.it/;NO;1;Pro Loco Santa Cesarea Terme;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Scorrano;scorrano;;https://www.comune.scorrano.le.it/;NO;1;Pro Loco Scorrano;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Seclì;secli;;https://www.comune.secli.le.it/;NO;1;Pro Loco Seclì;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Sogliano Cavour;sogliano-cavour;;https://www.comune.soglianocavour.le.it/;NO;1;Pro Loco Sogliano Cavour;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Soleto;soleto;;https://www.comune.soleto.le.it/;NO;1;Pro Loco Soleto;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Specchia;specchia;;https://www.comune.specchia.le.it/;NO;1;Pro Loco Specchia;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Spongano;spongano;;https://www.comune.spongano.le.it/;NO;1;Pro Loco Spongano;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Squinzano;squinzano;;https://www.comune.squinzano.le.it/;NO;2;Pro Loco Casalabate — Marina di Squinzano (Casalabate) | Pro Loco Squinzano;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Sternatia;sternatia;;https://www.comune.sternatia.le.it/;NO;1;Pro Loco Sternatia APS;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Supersano;supersano;;https://www.comune.supersano.le.it/;NO;1;Pro Loco Supersano;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Surano;surano;;https://www.comune.surano.le.it/;NO;1;Pro Loco Surano;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Surbo;surbo;Giorgilorio;https://www.comune.surbo.le.it/;NO;0;;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Taurisano;taurisano;;https://www.comune.taurisano.le.it/;NO;1;Pro Loco Taurisano;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Taviano;taviano;Marina di Mancaversa;https://www.comune.taviano.le.it/;NO;1;Pro Loco Taviano Mancaversa APS (Marina di Mancaversa);DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Tiggiano;tiggiano;;https://www.comune.tiggiano.le.it/;NO;1;Pro Loco Tiggiano;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Trepuzzi;trepuzzi;Casalabate;https://www.comune.trepuzzi.le.it/;NO;1;Pro Loco Casalabate — Marina di Trepuzzi (Casalabate);DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Tricase;tricase;Depressa | Lucugnano | Tutino | Caprarica del Capo | Sant’Eufemia | Marina Serra | Tricase Porto;https://www.comune.tricase.le.it/;NO;2;Pro Loco Depressa (Depressa) | Pro Loco Tricase;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Tuglie;tuglie;Montegrappa;https://www.comune.tuglie.le.it/;NO;0;;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Ugento;ugento;Gemini | Torre San Giovanni | Torre Mozza | Lido Marini;https://www.comune.ugento.le.it/;NO;3;Pro Loco Gemini-Torre San Giovanni-Torre Mozza Beach (Gemini / Torre San Giovanni / Torre Mozza) | Pro Loco Lido Marini (Lido Marini) | Pro Loco Ugento e Marine;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Uggiano la Chiesa;uggiano-la-chiesa;Casamassella;https://www.comune.uggianolachiesa.le.it/;NO;1;Pro Loco Uggiano la Chiesa e Casamassella (Casamassella);DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Veglie;veglie;;https://www.comune.veglie.le.it/;NO;1;Pro Loco Veglie;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Vernole;vernole;Acaya | Acquarica di Lecce | Strudà | Vanze | Pisignano | San Foca;https://www.comune.vernole.le.it/;NO;4;Nuova Pro Loco Acaya (Acaya) | Pro Loco Acquarica di Lecce (Acquarica di Lecce) | Pro Loco Strudà (Strudà) | Pro Loco Vernole;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Zollino;zollino;;https://www.comune.zollino.le.it/;NO;1;Pro Loco Zollino;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
